period,Total_pensions_cost,Total_net_pensions,Total_retirement_benefits,Total_survivors_pensions,Total_thirteenth_month_of_pension_cost,Total_net_thirteenth_month_of_pension
49,17715121.486239,17023180.2310724,14752704.6459454,2270475.58512698,0,0
50,20544273.8160203,19739608.8068971,16983376.0778793,2756232.72901782,3427495.04505415,3235849.99721899
51,19904647.1958466,19122786.0052417,16368106.2199112,2754679.78533055,0,0
52,21565532.0343132,20716393.0021183,17643849.8380926,3072543.16402572,3597150.71982864,3396777.44347078
53,18938602.4304899,18195363.4644723,15460046.97907,2735316.48540226,0,0
54,19471816.3518133,18706565.530396,15805943.8288714,2900621.70152454,3248427.08245178,3068477.57155892
55,18512972.6048935,17784795.4304638,14984145.2251351,2800650.20532872,0,0
56,20157497.8261254,19363940.1514728,16278081.5580878,3085858.59338505,3362550.20778282,3177006.50109362
57,19322672.8613111,18560738.2556432,15524822.331277,3035915.92436618,0,0
58,20588073.8779619,19774739.9938983,16484689.9785497,3290050.01534859,3433795.78474414,3244999.83656133
59,19771157.4021549,18990379.5369209,15796817.467918,3193562.06900287,0,0
60,21534311.4894563,20682353.0675682,17135515.3797324,3546837.68783577,3591397.13978249,3394759.60428992
61,19948555.5829496,19160656.979996,15837280.4854535,3323376.49454259,0,0
62,21429739.9717399,20581124.3725295,16984658.144983,3596466.22754643,3573895.29450204,3378960.47017649
63,19172386.444504,18415211.0341632,15128084.687593,3287126.3465702,0,0
64,19296168.7197321,18533209.8516123,15162314.1290483,3370895.72256397,3219396.83358606,3044860.50879577
65,17684434.5966824,16985354.6105647,13895490.0459941,3089864.56457064,0,0
66,20592051.1240859,19774453.7441323,16118771.6339836,3655682.1101487,3434982.82222896,3249077.16957077
67,18889378.6226711,18139258.8848768,14747254.1283343,3392004.75654251,0,0
68,20296119.2571702,19487744.2449492,15798731.6105279,3689012.63442128,3385225.33387821,3201723.44203818
69,18259038.3005484,17532279.3310415,14226817.597786,3305461.7332555,0,0
70,20452235.671825,19636962.0295141,15878987.2424158,3757974.78709834,3410717.35561352,3219960.5158318
71,18732548.1549865,17985089.0858627,14502396.0500404,3482693.03582229,0,0
72,20377985.065211,19563823.4074728,15733523.7099723,3830299.69750042,3397617.40506404,3207284.7785992
73,19056254.9922021,18292659.1452958,14667855.0389339,3624804.10636188,0,0
74,21141903.7054769,20294549.6444392,16241688.6174808,4052861.02695835,3524808.42287029,3327287.48570416
75,19884197.7022868,19086178.1237899,15245788.8602846,3840389.26350524,0,0
76,21417897.5985722,20557313.3489398,16380634.345863,4176679.00307674,3570582.08078469,3370398.13566429
77,20334052.9528051,19515954.9485055,15524379.6978227,3991575.25068283,0,0
78,21940269.904032,21056055.5233808,16672320.1234017,4383735.39997903,3655800.79771452,3450324.63054702
79,21167476.4623786,20313887.3763493,16052416.9900059,4261470.38634341,0,0
80,22633498.4104187,21719913.7171231,17127214.6528788,4592699.06424434,3772947.77840445,3561076.69848037
81,22018707.6324804,21129231.1433575,16630080.4241506,4499150.71920689,0,0
82,23183672.2454526,22246687.3100169,17482791.2394549,4763896.07056197,3864742.12194018,3647868.78951911
83,22714956.5890094,21796423.8687361,17090894.1785049,4705529.69023124,0,0
84,23689235.9610891,22730531.4296961,17807080.9703367,4923450.45935947,3948680.6060988,3726842.25719423
85,23417036.1442651,22468156.9960329,17572499.0294065,4895657.96662641,0,0
86,24312302.9653362,23325411.9040497,18165881.5074001,5159530.39664959,4051707.92207959,3823901.14620668
87,24246406.0684331,23259949.5956057,18060906.1634591,5199043.43214656,0,0
88,25022431.5432424,24004011.7111492,18605049.1351802,5398962.57596897,4170020.1078376,3935523.62341782
89,25085290.9228728,24062963.5852696,18625699.3458884,5437264.23938121,0,0
90,25617345.7500887,24572215.2226408,18972450.9801191,5599764.24252168,4267409.78037266,4027231.96421347
91,25743527.7774238,24693168.9502065,19006987.1393366,5686181.81086982,0,0
92,26290552.4162332,25215969.178149,19389671.6363086,5826297.54184042,4380604.91740654,4134320.71065193
93,26412048.5033606,25331798.6877641,19448450.9663045,5883347.72145964,0,0
94,26837877.4314629,25739287.7756397,19728340.8387915,6010946.93684814,4469284.6223595,4217207.43129743
95,26959920.0100562,25854950.2289261,19773104.9018073,6081845.32711882,0,0
96,27464702.7626592,26338914.0890489,20126417.3381886,6212496.75086027,4571567.22627037,4313314.93181479
97,27594633.6678186,26463553.5248328,20224865.5912535,6238687.93357926,0,0
98,27973993.0975992,26826254.943924,20452393.7936069,6373861.15031712,4654661.38292985,4391579.00187666
99,28137050.8237248,26982376.0065414,20572148.8973645,6410227.1091769,0,0
100,28595218.2038408,27421404.6886221,20857876.8027414,6563527.88588066,4758364.64939114,4489443.09469343
101,28723758.824877,27543930.0926732,20916175.168945,6627754.92372818,0,0
102,29075148.3357708,27880895.1069563,21199413.1934926,6681481.91346371,4836002.40357227,4562576.71244494
103,29161490.0251326,27963161.7608985,21206741.9914141,6756419.76948438,0,0
104,29528716.2717062,28315642.8623363,21484350.8972301,6831291.96510627,4912585.75635418,4635007.05987403
105,29680894.5054625,28460384.9438314,21527320.9825451,6933063.96128631,0,0
106,30090081.8879167,28852189.9894253,21779592.1562956,7072597.83312967,5003653.77017233,4720497.62424875
107,30160116.3131965,28919745.0570601,21793441.2420935,7126303.81496655,0,0
108,30275234.6046231,29030414.8595166,21874113.9917967,7156300.86771989,5035207.38775435,4750345.24235441
109,30440049.0088077,29187842.2004092,21944863.3380375,7242978.86237171,0,0
110,30917015.6530837,29643739.9012704,22264658.6102912,7379081.29097919,5140085.62049128,4848596.63049116
111,31106583.0274587,29824728.9247602,22368117.34589,7456611.57887013,0,0
112,31238897.0092824,29950687.6018088,22451286.8664163,7499400.73539251,5194691.10393165,4900338.64062959
113,31322546.4662708,30030478.1350197,22483914.8582549,7546563.27676483,0,0
114,31840056.197662,30526310.3094306,22831060.4231335,7695249.88629709,5292933.71476394,4992565.0631046
115,31914089.7353778,30598015.4115204,22843274.3854786,7754741.0260418,0,0
116,32009210.2572759,30689397.3148999,22864786.8740424,7824610.44085751,5321079.0518203,5019271.14809894
117,32107679.5576892,30784360.9776891,22862719.3899517,7921641.58773743,0,0
118,32339414.8901358,31006291.1254336,23062577.1430552,7943713.98237848,5374449.99703765,5069141.98773714
119,32649976.5281311,31303440.3507404,23329819.3008765,7973621.04986386,0,0
120,32877058.9232507,31521310.1208854,23498407.6658783,8022902.4550071,5465684.12129936,5155739.79775351
121,33008626.2859353,31647647.4942982,23582481.7877183,8065165.70657995,0,0
122,33335215.2661957,31960116.0876888,23803493.6738637,8156622.41382514,5541798.25736234,5227388.25306771
123,33419959.2187677,32041862.8572414,23882564.4673647,8159298.38987665,0,0
124,33571690.7163798,32186562.67107,23967445.8479515,8219116.82311841,5581127.79761162,5264374.03420368
125,33770881.1754781,32377611.7982762,24114452.5530338,8263159.24524244,0,0
126,34030219.7974396,32626585.3599229,24319455.3999373,8307129.9599856,5653906.37078998,5332899.48331927
127,34144910.1724016,32737210.1125521,24401635.4099158,8335574.70263631,0,0
128,34475142.7959209,33054457.1128944,24649596.9984384,8404860.114456,5727690.21105211,5402848.53545562
129,34684681.7878096,33254707.2288457,24769419.5714682,8485287.65737747,0,0
130,35025140.2416634,33580971.1229518,25027076.8398436,8553894.28310819,5818000.55596132,5488205.19421998
131,35102685.5294769,33656838.2553181,25100219.8024223,8556618.45289583,0,0
132,35270446.2299134,33817516.8836312,25182413.4839022,8635103.39972894,5858567.30711758,5526703.55931278
133,35363783.9889948,33908474.4581898,25266315.4962348,8642158.961955,0,0
134,35792032.4380307,34318779.7660222,25532476.4209863,8786303.34503589,5946123.78883984,5609722.59584708
135,35975936.169723,34494660.1987097,25656587.697585,8838072.50112472,0,0
136,36158958.5805905,34670054.1746571,25750581.5932663,8919472.58139083,6005458.86701472,5665251.3395362
137,36352976.2896831,34856683.9082582,25880348.6652167,8976335.24304157,0,0
138,36647288.7036968,35139975.695928,26051687.000447,9088288.69548105,6086412.33172608,5741861.97279221
139,36793934.1854859,35280410.7872949,26133429.1335735,9146981.65372133,0,0
140,37106574.0846678,35580909.1223477,26330013.0321846,9250896.09016312,6163398.5112664,5814754.60904137
141,37342846.8239936,35808601.9010512,26492338.7785922,9316263.12245905,0,0
142,37703725.2667326,36154702.2929399,26704247.9999735,9450454.29296638,6262126.61828232,5908360.84509874
143,37907901.0016409,36351212.8891173,26863160.8807307,9488052.00838668,0,0
144,38190854.4601674,36622522.0784824,27049868.6361812,9572653.44230125,6341674.42074646,5983337.1045924
145,38439439.1266138,36861451.1007171,27278000.5001596,9583450.60055755,0,0
146,38912338.508377,37315500.9183138,27643175.102263,9672325.8160508,6461258.761743,6096230.54854925
147,39061659.8025403,37457955.8357218,27672998.4749698,9784957.36075202,0,0
148,39305039.3161134,37691368.89982,27844355.6360521,9847013.26376781,6525737.17310558,6157123.98161905
149,39434198.8202796,37816898.8906451,27979848.2815329,9837050.60911223,0,0
150,39670660.3164218,38044026.7280015,28149408.3695787,9894618.35842284,6587174.12219032,6215024.2850491
151,39724143.7317078,38097096.3095765,28210054.9353676,9887041.3742089,0,0
152,40307023.0793127,38655548.6033639,28600068.2453134,10055480.3580505,6693730.00561127,6315980.24505417
